Id,Label,timeset,0,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,pageranks
1872NTmXncX5f7Mr6ebEct5xFbf5azSgd4,1872NTmXncX5f7Mr6ebEct5xFbf5azSgd4,,Bitcoin Wallet,5,0.276152,0.285631,0,12,0,0,0.000261
1JncCLQLzG9V6ooj1jeyuD3Batqr9rZZeC,1JncCLQLzG9V6ooj1jeyuD3Batqr9rZZeC,,Bitcoin Wallet,5,0.269456,0.274383,0,154,0,0,0.000272
1NbghwNxAy6LvQNcDpzqEH6bDYaNVPv3zJ,1NbghwNxAy6LvQNcDpzqEH6bDYaNVPv3zJ,,Bitcoin Wallet,5,0.271723,0.278254,0,17,0,0,0.000263
383LcjvVkBiysJ4f5QMUybm2HKph3Nkh3Y,383LcjvVkBiysJ4f5QMUybm2HKph3Nkh3Y,,Bitcoin Wallet,5,0.270514,0.276197,0,3,0,0,0.000264
1AJYp7Kbshym13xUYMw9YzzhKQ4ygTye6S,1AJYp7Kbshym13xUYMw9YzzhKQ4ygTye6S,,Bitcoin Wallet,5,0.271153,0.277286,0,18,0,0,0.000263
1MnXRzqXXiopMfLew798pCeKrwLdcxadyk,1MnXRzqXXiopMfLew798pCeKrwLdcxadyk,,Bitcoin Wallet,5,0.269456,0.274383,0,11,0,0,0.000272
12C7hkXEhhWw6PE8gjTjDyu5TdV6M2iJiJ,12C7hkXEhhWw6PE8gjTjDyu5TdV6M2iJiJ,,Bitcoin Wallet,5,0.269456,0.274383,0,155,0,0,0.000272
1L6j45spP7MBEz5eNGJKSQjbZYCh8EQsDR,1L6j45spP7MBEz5eNGJKSQjbZYCh8EQsDR,,Bitcoin Wallet,5,0.276152,0.285631,0,12,0,0,0.000261
22222223nm4siaje.onion,22222223nm4siaje.onion,,Hidden Service,5,0.273739,0.281785,0,21,1,1,0.000274
1BiFjinBFRwBSqCzcbjUR1HJZHmnTRNvew,1BiFjinBFRwBSqCzcbjUR1HJZHmnTRNvew,,Bitcoin Wallet,5,0.280423,0.292525,0,71,0,0,0.000261
12y7WxUQWdzzYF6Sryo4u25D6KNpy5WXHL,12y7WxUQWdzzYF6Sryo4u25D6KNpy5WXHL,,Bitcoin Wallet,5,0.273594,0.281398,0,1,0,0,0.000262
